#{"t_start": 1762632990.989535, "env_id": "None"}
r,l,t
-200.0,1,341.660942
-200.0,1,341.691956
153.55,96,343.035706
-200.0,1,343.069357
-200.0,1,343.101586
-200.0,1,343.133517
2565.05,364,348.15841
-200.0,1,348.199853
-200.0,1,348.228495
-200.0,1,348.258079
347.55,106,349.736972
-200.0,1,349.77005
-200.0,1,349.801725
-200.0,1,349.832705
516.45,106,351.290958
-200.0,1,351.324422
-200.0,1,351.358462
-200.0,1,351.392255
1684.85,314,356.180574
-200.0,1,356.212171
-200.0,1,356.243808
-200.0,1,356.274722
518.3,133,358.119612
-200.0,1,358.161869
-200.0,1,358.1913
-200.0,1,358.221517
319.85,80,359.348366
-200.0,1,359.380906
-200.0,1,359.4117
-200.0,1,359.442957
3504.4,605,367.798834
-200.0,1,367.836638
-200.0,1,367.872215
-200.0,1,367.903173
-200.0,1,367.932911
665.5,155,370.057374
-200.0,1,370.088499
-200.0,1,370.119942
-200.0,1,370.152175
247.9,165,372.457845
-200.0,1,372.491452
-200.0,1,372.524537
-200.0,1,372.561477
-200.0,1,372.593364
-200.0,1,372.625593
-138.85,10,372.778705
-200.0,1,372.810735
-200.0,1,372.84214
-200.0,1,372.871748
-200.0,1,372.902465
314.7,81,374.013627
-200.0,1,374.046619
-200.0,1,374.07659
-200.0,1,374.109685
39.15,48,374.794291
-200.0,1,374.827878
-200.0,1,374.860701
-200.0,1,374.893255
1508.85,270,378.623621
-200.0,1,378.654185
-200.0,1,378.684867
-200.0,1,378.71591
167.9,91,379.978724
-200.0,1,380.009101
-200.0,1,380.038257
-200.0,1,380.068895
611.65,190,382.697478
-200.0,1,382.731846
-200.0,1,382.764
-200.0,1,382.795381
703.6,111,384.321848
-200.0,1,384.355615
-200.0,1,384.392508
-200.0,1,384.424925
124.9,55,385.625044
-200.0,1,385.657566
-200.0,1,385.694254
-200.0,1,385.724367
-184.2,7,385.836248
-200.0,1,385.866656
-200.0,1,385.897958
-200.0,1,385.928608
-119.4,41,386.506334
